party,year,total_votes,no_of_seats
MPS(T),2014,13339,10
MSHP,2019,281578,2
MSJP,2019,2427,2
MSKK,2019,2906,1
MVA,2014,3715,3
MYSP,2019,605,1
MaJP,2014,997,1
MaNPa,2019,4071,4
MaSP,2014,22022,4
MaSPa,2014,2425,1
ManJP,2019,6267,2
ManKP,2019,1344,1
MwSP,2014,17890,7
MwSP,2019,4498,2
NABMUP,2019,1453,1
NADP,2014,15967,12
NAJC,2014,2196,2
NALAP,2019,2833,1
NAP,2014,36181,17
NAP,2019,7294,6
NAPt,2019,1044,1
NATJUP,2019,6531,4
NATWOMP,2019,3903,2
NAWPP,2019,161645,1
NBDP,2014,16153,9
NBNP,2014,485,1
NCP,2014,8635558,36
NCP,2019,8500331,34
NDDHP,2019,628,1
NDEP,2014,3618,1
NDEP,2019,1138,1
NDPOI,2019,7081,3
NDPP,2019,500510,1
NED,2019,2371,1
NEINDP,2019,37221,2
NEP,2014,2917,3
NEP,2019,18037,4
NFFF,2019,1308,1
NIDP,2019,2597,2
NIP,2014,5082,2
NIP,2019,1059,2
NIRBHP,2019,2449,1
NJANP,2019,4847,2
NJC,2014,1463,1
NJP,2019,4444,1
NLP,2014,11174,7
NMK,2014,2511,1
NNKP,2019,887,1
NNMP,2019,985,1
NNP,2014,441,1
NNP,2019,4590,1
NOC,2014,1198,2
NOTA,2014,5445287,511
NOTA,2019,6522772,543
NP,2014,791,1
NPEP,2014,576448,7
NPEP,2019,425986,11
NPF,2014,994505,2
NPF,2019,363527,1
NPRP,2019,8007,1
NPSF,2019,5798,1
NPT,2014,1455,1
NPT,2019,1341,2
NRCP,2019,4265,5
NRCong,2019,4278,2
NRSN,2014,1725,1
NSBHP,2019,1160,1
NSBP,2014,3829,1
NSCBRAP,2019,2342,1
NTK,2019,1695074,39
NTP,2014,3251,1
NVSP,2019,4286,1
NYP,2014,1176,2
NYP,2019,1053,2
NaLP,2014,3072,1
NaLP,2019,1628,1
NavaP,2019,1135,1
OPD,2019,8304,1
PAP,2014,698,1
PAP,2019,1346,1
PBI,2014,2271,1
PBI,2019,19457,9
PDP,2019,39856,3
PDS,2014,22284,7
PDS,2019,12087,5
PECP,2014,518724,51
PECP,2019,29998,14
PG,2014,7222,1
PGSP,2014,4052,2
PGSP,2019,11752,3
PHJSP,2019,20620,1
PHRC,2014,4852,4
PHRC,2019,10532,2
PHSP,2019,4073,1
PJSP,2019,4179,1
PLM,2019,3339,1
PLP,2014,1386,1
PLP,2019,692,1
PMK,2014,1827566,9
PMK,2019,2297431,7
PMP,2019,13238,2
PMPT,2019,13450,3
PMSP,2014,39039,9
PMSP,2019,8210,3
PNP,2019,1695,1
PPA,2014,47018,2
PPA,2019,27703,2
PPI,2014,4082,1
PPID,2019,153103,56
PPIS,2014,331,1
PPIS,2019,4914,3
PPOI,2014,185478,38
PPOI,2019,77169,48
PRCP,2014,19470,11
PRCP,2019,13229,5
PRISM,2014,2694,1
PRISM,2019,1400,5
PRISMP,2019,13323,1
PRJP,2019,5451,3
PRSHP,2019,9738,4
PRSP,2014,21284,5
PRSP,2019,4612,1
PSJP,2014,433,1
PSJP,2019,6469,3
PSPL,2019,347026,83
PSPU,2019,8884,2
PSS,2014,15368,4
PSS,2019,13535,6
PT,2014,262812,1
PUDEP,2019,1319,1
PUJP,2019,43892,14
PUNEKP,2019,296620,3
PUNP,2019,547,1
PWPI,2014,497721,3
PrStP,2019,1462,2
QED,2014,354577,9
RABSP,2019,1777,1
RAC,2014,4527,2
RACHEP,2019,1975,1
RADM,2019,3799,2
RADP,2014,38322,4
RAHIS,2019,67782,6
RAHM,2014,13185,7
RAHM,2019,440,1
RAIM,2019,10914,1
RAJADP,2019,1596,2
RAJSPty,2019,1425,1
RAJUP,2019,776,1
RAKP,2014,2096,2
RAKRD,2019,475,1
RAPI,2019,4016,2
RAPa,2014,3408,2
RAPty,2019,2272,1
RASAP,2019,3687,3
